Number of people who will provide maintenance,Loan History,Purpose of taking loan,loan amount taken,Guarantor or Debtor,Number of years of employment,Marital Status,Number of loans taken from current bank,Age of the applicant in Number of Years,amount in current account,amount in savings account,% of income paid as installment,Other loans plans taken,Working abroad or not,Is there telephone number available,time duration for loan,Owned property,Type of job performed,Type of Housing,Number of years of stay in current address,Loan Defaulted or not
1,delay in paying off loans in the past,New Car Purchase,1209,none,unemployed,male and single,1,47,between 0 and 200,less than 100,4,none,Yes,Yes,6,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,own,4,2
2,all loans at this bank paid back duly,Purchase of radio/television,1569,none,,male and single,1,34,no current account,between 100 and 500,4,bank,Yes,No,15,car or other property,unskilled - resident,own,4,1
1,existing loans paid back duly till now,New Car Purchase,1203,none,,male and single,1,43,less than 0,between 100 and 500,3,none,Yes,Yes,6,building society savings agreement/life insurance,skilled employee / official,own,2,1
1,existing loans paid back duly till now,New Car Purchase,276,none,between 1 and 4 years,male and married/widowed,1,22,between 0 and 200,less than 100,4,none,Yes,No,9,Real Estate,unskilled - resident,rent,4,1
1,existing loans paid back duly till now,New Car Purchase,1422,none,less than a year,male and single,1,27,less than 0,less than 100,3,none,Yes,Yes,9,No property,management/ self-employed/highly qualified employee/ officer,for free,2,2
1,critical account/other loans existing (not at this bank),Old Car Repair,3229,none,unemployed,male and single,1,38,no current account,no savings account,2,none,Yes,Yes,18,No property,management/ self-employed/highly qualified employee/ officer,own,4,1
1,existing loans paid back duly till now,Loan for retraining,754,none,,male and single,2,38,between 0 and 200,no savings account,4,none,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,own,4,1
1,critical account/other loans existing (not at this bank),Purchase of radio/television,6070,none,,male and single,2,33,no current account,less than 100,3,none,Yes,Yes,18,car or other property,skilled employee / official,own,4,1
1,critical account/other loans existing (not at this bank),Education Loan,1927,none,between 1 and 4 years,female and divorced/seperated/married,2,33,no current account,no savings account,3,none,Yes,Yes,24,car or other property,skilled employee / official,own,2,1
2,delay in paying off loans in the past,Other repairs,6204,none,between 1 and 4 years,male and single,1,44,between 0 and 200,less than 100,2,none,Yes,Yes,18,Real Estate,unskilled - resident,own,4,1
1,all loans at this bank paid back duly,Purchase of domestic appliances,3990,none,less than a year,female and divorced/seperated/married,1,29,between 0 and 200,no savings account,3,bank,Yes,No,36,No property,unemployed/ unskilled - non-resident,own,2,1
1,existing loans paid back duly till now,Purchase of radio/television,625,gaurantor,less than a year,male and married/widowed,1,26,between 0 and 200,less than 100,4,bank,Yes,No,12,Real Estate,unskilled - resident,own,1,1
1,critical account/other loans existing (not at this bank),Purchase of domestic appliances,1424,none,greater than 4 years,male and single,1,26,between 0 and 200,less than 100,4,none,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,own,3,1
1,critical account/other loans existing (not at this bank),Purchase of radio/television,2337,none,,male and single,1,36,between 0 and 200,less than 100,4,none,Yes,No,36,Real Estate,skilled employee / official,own,4,1
1,existing loans paid back duly till now,Purchase of radio/television,1845,none,between 1 and 4 years,male and single,1,23,less than 0,less than 100,4,none,Yes,Yes,45,No property,skilled employee / official,for free,4,2
1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,1433,none,between 1 and 4 years,female and divorced/seperated/married,2,25,less than 0,less than 100,4,none,Yes,No,15,building society savings agreement/life insurance,skilled employee / official,rent,3,1
1,no loans taken/all loans paid back duly,New Car Purchase,1204,none,between 1 and 4 years,male and single,1,35,no current account,between 100 and 500,4,bank,No,No,6,No property,skilled employee / official,rent,1,1
1,critical account/other loans existing (not at this bank),Loan for business establishment,4526,none,between 1 and 4 years,male and single,1,74,no current account,less than 100,3,none,Yes,Yes,24,Real Estate,management/ self-employed/highly qualified employee/ officer,own,2,1
1,existing loans paid back duly till now,Purchase of radio/television,2333,none,,male and single,1,30,no current account,between 500 and 1000,4,bank,Yes,No,30,car or other property,management/ self-employed/highly qualified employee/ officer,own,2,1
1,critical account/other loans existing (not at this bank),Purchase of radio/television,1655,none,,male and single,2,63,no current account,less than 100,2,none,Yes,Yes,12,Real Estate,unskilled - resident,own,4,1
1,delay in paying off loans in the past,Purchase of furniture/equipment,7678,none,greater than 4 years,female and divorced/seperated/married,2,40,no current account,between 500 and 1000,2,none,Yes,Yes,36,car or other property,skilled employee / official,own,4,1
2,delay in paying off loans in the past,Purchase of radio/television,4370,none,greater than 4 years,male and single,2,26,less than 0,less than 100,3,bank,Yes,Yes,42,building society savings agreement/life insurance,skilled employee / official,own,2,2
1,existing loans paid back duly till now,New Car Purchase,9271,none,greater than 4 years,male and single,1,24,less than 0,less than 100,2,none,Yes,Yes,36,car or other property,skilled employee / official,own,1,2
2,critical account/other loans existing (not at this bank),Purchase of radio/television,3077,none,,male and single,2,40,no current account,no savings account,3,none,Yes,Yes,30,car or other property,skilled employee / official,own,2,1
1,existing loans paid back duly till now,Purchase of radio/television,1155,gaurantor,,male and married/widowed,2,40,between 0 and 200,less than 100,3,bank,Yes,No,12,Real Estate,unskilled - resident,own,3,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,2136,none,between 1 and 4 years,male and single,1,25,less than 0,less than 100,3,none,Yes,No,9,Real Estate,skilled employee / official,own,2,1
1,existing loans paid back duly till now,Purchase of radio/television,790,none,between 1 and 4 years,female and divorced/seperated/married,1,66,between 0 and 200,between 500 and 1000,4,none,Yes,No,9,Real Estate,unskilled - resident,own,3,1
2,existing loans paid back duly till now,New Car Purchase,3249,none,greater than 4 years,male and single,1,39,less than 0,less than 100,2,bank,Yes,Yes,36,No property,management/ self-employed/highly qualified employee/ officer,for free,4,1
1,delay in paying off loans in the past,Loan for business establishment,2145,none,greater than 4 years,male and single,2,24,less than 0,less than 100,2,none,Yes,Yes,36,car or other property,skilled employee / official,own,1,2
1,critical account/other loans existing (not at this bank),Purchase of radio/television,5103,none,less than a year,male and married/widowed,3,47,no current account,less than 100,3,none,Yes,Yes,24,No property,skilled employee / official,for free,3,1
2,all loans at this bank paid back duly,New Car Purchase,6458,none,,male and single,2,39,no current account,less than 100,2,bank,Yes,Yes,18,No property,management/ self-employed/highly qualified employee/ officer,own,4,2
1,existing loans paid back duly till now,Loan for business establishment,1410,none,,male and married/widowed,1,35,between 0 and 200,between 500 and 1000,1,none,Yes,Yes,14,Real Estate,skilled employee / official,own,2,1
1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,2246,none,,male and single,2,60,less than 0,less than 100,3,none,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,own,3,2
1,all loans at this bank paid back duly,Purchase of radio/television,626,none,between 1 and 4 years,female and divorced/seperated/married,1,24,less than 0,less than 100,4,bank,Yes,No,12,Real Estate,unskilled - resident,own,4,2
1,all loans at this bank paid back duly,New Car Purchase,12169,co-applicant,unemployed,male and single,1,36,between 0 and 200,no savings account,4,none,Yes,Yes,48,No property,management/ self-employed/highly qualified employee/ officer,for free,4,1
1,existing loans paid back duly till now,Purchase of radio/television,4594,none,less than a year,male and single,1,32,no current account,less than 100,3,none,Yes,Yes,18,car or other property,skilled employee / official,own,2,1
1,all loans at this bank paid back duly,New Car Purchase,1437,none,greater than 4 years,male and single,1,29,between 0 and 200,between 100 and 500,2,none,Yes,No,9,No property,skilled employee / official,own,3,2
1,critical account/other loans existing (not at this bank),Education Loan,2012,none,greater than 4 years,female and divorced/seperated/married,1,61,no current account,no savings account,4,none,Yes,No,12,car or other property,skilled employee / official,own,2,1
1,existing loans paid back duly till now,Purchase of radio/television,2101,gaurantor,less than a year,female and divorced/seperated/married,1,23,between 0 and 200,less than 100,2,none,Yes,No,13,building society savings agreement/life insurance,unskilled - resident,own,4,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,2978,none,between 1 and 4 years,male and single,1,32,no current account,between 500 and 1000,1,none,Yes,Yes,6,car or other property,skilled employee / official,own,2,1
1,delay in paying off loans in the past,Purchase of radio/television,9157,none,between 1 and 4 years,male and single,1,27,between 0 and 200,no savings account,2,none,Yes,No,60,No property,management/ self-employed/highly qualified employee/ officer,for free,2,1
1,existing loans paid back duly till now,Purchase of radio/television,3060,none,greater than 4 years,male and single,2,28,between 0 and 200,less than 100,4,none,Yes,No,48,Real Estate,skilled employee / official,own,4,2
1,delay in paying off loans in the past,Education Loan,6887,none,between 1 and 4 years,male and single,1,29,less than 0,less than 100,4,stores,Yes,Yes,36,building society savings agreement/life insurance,skilled employee / official,own,3,2
2,critical account/other loans existing (not at this bank),New Car Purchase,1299,none,between 1 and 4 years,male and single,3,74,greater than 200,less than 100,1,none,No,No,6,Real Estate,unemployed/ unskilled - non-resident,own,1,1
1,no loans taken/all loans paid back duly,Purchase of furniture/equipment,2759,none,,male and single,2,34,no current account,less than 100,2,none,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,own,4,1
1,existing loans paid back duly till now,New Car Purchase,1842,none,less than a year,female and divorced/seperated/married,1,34,less than 0,less than 100,4,none,Yes,Yes,36,car or other property,skilled employee / official,own,4,2
1,critical account/other loans existing (not at this bank),Purchase of radio/television,3578,none,,male and single,1,47,no current account,no savings account,4,none,Yes,Yes,48,Real Estate,skilled employee / official,own,1,1
1,existing loans paid back duly till now,Purchase of radio/television,1206,none,,female and divorced/seperated/married,1,25,between 0 and 200,less than 100,4,none,Yes,No,9,Real Estate,skilled employee / official,own,4,1
1,critical account/other loans existing (not at this bank),Other repairs,3394,co-applicant,unemployed,male and single,2,65,less than 0,less than 100,4,none,Yes,No,42,car or other property,unemployed/ unskilled - non-resident,own,4,1
2,existing loans paid back duly till now,Purchase of radio/television,1068,none,,male and single,1,28,between 0 and 200,less than 100,4,none,Yes,No,6,car or other property,skilled employee / official,own,4,1
2,critical account/other loans existing (not at this bank),Other repairs,1288,gaurantor,,male and single,2,48,less than 0,between 100 and 500,3,none,No,No,9,Real Estate,skilled employee / official,own,4,1
1,existing loans paid back duly till now,Education Loan,727,none,,male and single,1,46,no current account,between 500 and 1000,4,none,Yes,Yes,10,No property,skilled employee / official,for free,4,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,1657,none,between 1 and 4 years,male and single,1,27,less than 0,less than 100,2,none,Yes,No,12,Real Estate,skilled employee / official,own,2,1
1,critical account/other loans existing (not at this bank),New Car Purchase,5045,none,,female and divorced/seperated/married,1,59,no current account,no savings account,1,none,Yes,Yes,15,car or other property,skilled employee / official,own,4,1
1,existing loans paid back duly till now,Loan for business establishment,1542,none,greater than 4 years,male and single,1,36,no current account,less than 100,2,none,Yes,Yes,12,car or other property,skilled employee / official,own,4,1
1,existing loans paid back duly till now,,11328,co-applicant,between 1 and 4 years,male and single,2,29,between 0 and 200,less than 100,2,bank,Yes,Yes,24,car or other property,management/ self-employed/highly qualified employee/ officer,own,3,2
1,delay in paying off loans in the past,New Car Purchase,1965,none,between 1 and 4 years,female and divorced/seperated/married,2,42,between 0 and 200,no savings account,4,none,Yes,Yes,24,car or other property,skilled employee / official,rent,4,1
1,existing loans paid back duly till now,New Car Purchase,3757,co-applicant,,female and divorced/seperated/married,1,62,no current account,less than 100,4,none,Yes,Yes,24,No property,skilled employee / official,for free,4,1
1,critical account/other loans existing (not at this bank),Loan for business establishment,6304,none,,male and single,2,36,no current account,no savings account,4,none,Yes,No,36,Real Estate,skilled employee / official,own,4,1
1,existing loans paid back duly till now,Education Loan,1819,none,between 1 and 4 years,male and single,1,37,no current account,less than 100,4,stores,Yes,Yes,36,No property,skilled employee / official,for free,4,2
1,existing loans paid back duly till now,Purchase of radio/television,3357,none,less than a year,female and divorced/seperated/married,1,29,less than 0,greater than 1000,4,bank,Yes,No,21,car or other property,skilled employee / official,own,2,1
1,critical account/other loans existing (not at this bank),Purchase of radio/television,338,none,,male and single,2,52,less than 0,between 500 and 1000,4,none,Yes,No,6,car or other property,skilled employee / official,own,4,1
1,existing loans paid back duly till now,Education Loan,1538,none,less than a year,female and divorced/seperated/married,1,56,no current account,less than 100,1,none,Yes,No,6,No property,skilled employee / official,own,2,1
1,existing loans paid back duly till now,Purchase of radio/television,3213,none,less than a year,male and married/widowed,1,25,between 0 and 200,between 500 and 1000,1,none,Yes,No,18,Real Estate,skilled employee / official,rent,3,1
1,delay in paying off loans in the past,Education Loan,3414,none,less than a year,male and single,2,26,less than 0,less than 100,2,none,Yes,No,21,building society savings agreement/life insurance,skilled employee / official,own,1,2
1,critical account/other loans existing (not at this bank),New Car Purchase,2080,none,between 1 and 4 years,male and married/widowed,1,24,no current account,between 500 and 1000,1,none,Yes,No,6,car or other property,skilled employee / official,own,2,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,3149,none,less than a year,male and single,1,22,less than 0,less than 100,4,bank,Yes,No,24,No property,skilled employee / official,for free,1,1
1,existing loans paid back duly till now,Purchase of radio/television,753,gaurantor,between 1 and 4 years,female and divorced/seperated/married,1,64,between 0 and 200,less than 100,2,none,Yes,No,6,Real Estate,skilled employee / official,own,3,1
1,existing loans paid back duly till now,Old Car Repair,2679,none,less than a year,female and divorced/seperated/married,1,29,no current account,less than 100,4,none,Yes,Yes,24,No property,management/ self-employed/highly qualified employee/ officer,own,1,1
2,critical account/other loans existing (not at this bank),New Car Purchase,3905,none,between 1 and 4 years,male and single,2,36,less than 0,less than 100,2,none,Yes,No,11,Real Estate,skilled employee / official,rent,2,1
